6066.32	0.00
6066.32	0.01
6066.32	0.01
6066.32	0.02
6066.32	0.03
17212.08	0.00
17212.08	0.01
17212.08	0.02
17212.08	0.02
17212.08	0.03
42176.25	0.01
42176.25	0.01
42176.25	0.02
42176.25	0.02
42176.25	0.03
-386.89	0.00
-386.89	0.01
-386.89	0.01
-386.89	0.02
-386.89	0.02
-386.89	0.00
-386.89	0.01
-386.89	0.01
-386.89	0.02
-386.89	0.02
-386.89	0.00
-386.89	0.01
-386.89	0.02
-386.89	0.02
-386.89	0.02
359175.32	0.00
359175.32	0.01
359175.32	0.02
359175.32	0.03
359175.32	0.03
359175.32	0.08
359175.32	0.15
359175.32	0.23
359175.32	0.30
359175.32	0.38
359175.32	0.00
359175.32	0.01
359175.32	0.01
359175.32	0.02
359175.32	0.02
-2005.55	0.00
-2005.55	0.01
-2005.55	0.01
-2005.55	0.02
-2005.55	0.02
79781598.92	0.00
79781598.92	0.12
79781598.92	0.17
79781598.92	0.19
79781598.92	0.21
359175.32	0.00
359175.32	0.01
359175.32	0.01
359175.32	0.02
359175.32	0.03
359175.32	0.00
359175.32	0.01
359175.32	0.01
359175.32	0.02
359175.32	0.02
359175.32	0.00
359175.32	0.01
359175.32	0.02
359175.32	0.02
359175.32	0.03
